,x
35751_at,1.121907726
976_s_at,1.121201686
35879_at,1.118169226
31852_at,1.115768612
38911_at,1.113387797
37663_at,1.112422072
34366_g_at,1.111595435
37738_g_at,1.108665891
37217_at,1.106407141
31670_s_at,1.105982211
37000_at,1.105268068
41632_at,1.105196788
40490_at,1.10440187
40522_at,1.104308919
32829_at,1.103837403
31873_at,1.102782402
40336_at,1.102701022
33396_at,1.100270661
39760_at,1.099815188
39980_at,1.096047894
39386_at,1.094099181
35651_at,1.094078494
36902_at,1.092968849
36473_at,1.090400712
39884_g_at,1.087324599
35620_at,1.087242957
31845_at,1.086914969
36131_at,1.086489886
38424_at,1.085502313
32230_at,1.085248399
36457_at,1.084735341
37736_at,1.08309141
37077_at,1.082422988
34998_at,1.081088245
38155_at,1.080459916
798_at,1.078521208
39077_at,1.078239702
32645_at,1.077356303
35301_at,1.076780621
35821_at,1.076745369
38751_i_at,1.075806916
38175_at,1.074581613
36244_at,1.068356781
37700_at,1.068115089
33637_g_at,1.065171995
32116_at,1.062996453
37920_at,1.062625359
38940_at,1.061242222
37311_at,1.05815334
39921_at,1.056370901
32454_at,1.055955493
38499_s_at,1.055744002
41442_at,1.054742852
35247_at,1.052406833
36636_at,1.05080147
37009_at,1.050150835
40414_at,1.049658081
1929_at,1.048885563
604_at,1.045247664
1447_at,1.043350515
37029_at,1.043245306
34360_s_at,1.042718916
35167_at,1.042445871
41411_at,1.041220435
38450_at,1.040507829
32032_at,1.039538253
40727_at,1.037215548
35159_at,1.036710259
38709_at,1.036384794
32767_at,1.033966187
41646_at,1.032690465
39827_at,1.032295097
31931_f_at,1.031831097
33914_r_at,1.030672331
41393_at,1.026946533
39141_at,1.026263266
32509_at,1.026003565
35195_at,1.025903582
39261_at,1.025772983
32706_at,1.025041658
41057_at,1.024486202
39029_at,1.02438854
38071_at,1.02427881
36963_at,1.02427244
33726_at,1.02335815
41370_at,1.021287351
41441_at,1.019317082
32361_s_at,1.018055681
41733_at,1.018044828
34937_at,1.016087922
37474_at,1.012538184
37520_at,1.010998627
39355_at,1.00874655
39847_at,1.008616947
829_s_at,1.007851918
37098_at,1.005428926
34009_at,1.00457653
40782_at,1.002948438
34811_at,1.002302567
38846_at,1.000991519
1760_s_at,0.999314886
33247_at,0.995209287
33165_at,0.994190153
34849_at,0.993237241
35291_at,0.992766381
35343_at,0.99249067
33797_at,0.99168852
40209_at,0.990684525
35836_at,0.99053207
38446_at,0.990081438
35813_at,0.989826069
36363_at,0.988201898
38631_at,0.987594819
39600_at,0.986432554
41359_at,0.985310902
40891_f_at,0.984710048
633_s_at,0.979242926
33776_at,0.975308806
36317_at,0.975077038
286_at,0.974458449
33860_at,0.972640313
40408_at,0.969502709
41832_s_at,0.969409213
41473_at,0.969302078
31808_at,0.968127112
37679_at,0.967797114
41838_at,0.967591813
34825_at,0.965136353
410_s_at,0.964459122
38801_at,0.963533566
38557_at,0.962807925
35355_at,0.962064245
36472_at,0.957968089
35293_at,0.956459071
38404_at,0.956325034
37532_at,0.955987506
39009_at,0.955847378
38136_at,0.955198647
37046_at,0.954530818
1468_at,0.954442951
34721_at,0.954079893
36717_at,0.95374594
36135_at,0.95355452
34610_at,0.950921563
38977_at,0.950656139
40784_at,0.949711078
41129_at,0.948538215
37557_at,0.943904855
860_at,0.943528437
35218_at,0.942545084
36798_g_at,0.942272092
38693_at,0.941063996
36880_at,0.939754158
33720_at,0.939680369
39155_at,0.939667813
34976_at,0.938689573
1644_at,0.937708172
38325_at,0.935943118
40863_r_at,0.935329057
1544_at,0.935083681
34665_g_at,0.93489717
41720_r_at,0.934596231
37501_at,0.934547435
1809_at,0.933807787
41415_at,0.933216148
37395_at,0.932974529
36046_at,0.932243486
34446_at,0.932219463
36713_at,0.931969102
1882_g_at,0.931594622
430_at,0.931339811
824_at,0.931273326
41718_g_at,0.93103834
35750_at,0.930096347
40638_at,0.9279652
34291_at,0.925673545
38999_s_at,0.924360502
39704_s_at,0.923798846
1911_s_at,0.922093381
32584_at,0.921999061
36041_at,0.921474056
39390_at,0.921461721
39882_at,0.921093325
36846_s_at,0.92050792
37403_at,0.918916083
33734_at,0.918645609
32120_at,0.918457016
41562_at,0.917691013
32117_at,0.917259301
40844_at,0.916903613
38108_at,0.915932937
37938_at,0.91592994
41778_at,0.915668222
947_at,0.913862859
36796_at,0.913230699
1356_at,0.912113498
36591_at,0.911778564
1055_g_at,0.911383769
37509_at,0.910771693
31878_at,0.90985722
37670_at,0.909523702
39439_at,0.908517214
33124_at,0.908301768
38415_at,0.907499369
34337_s_at,0.906003305
34969_s_at,0.905549357
33423_g_at,0.905378105
35233_r_at,0.904678214
31969_i_at,0.903742228
38260_at,0.902877454
32536_at,0.900327649
36769_at,0.899983819
38585_at,0.899722675
37685_at,0.899261646
36492_at,0.899022483
36581_at,0.89895565
35562_at,0.8962687
34261_at,0.894305076
33837_at,0.894050926
37468_at,0.893971479
36520_at,0.893767295
40801_at,0.890875405
782_at,0.890830821
36597_at,0.890534515
40133_s_at,0.888641047
33433_at,0.888318314
40811_at,0.886311293
41371_at,0.885681493
38479_at,0.885388945
34315_at,0.88526546
35758_at,0.885170942
34758_at,0.88419358
39105_at,0.883983411
34865_at,0.883194958
36857_at,0.881635948
38669_at,0.880794029
40905_s_at,0.880710968
40282_s_at,0.878939352
38067_at,0.878232573
40616_at,0.878149064
33332_at,0.87803574
39653_at,0.877431117
37028_at,0.874119364
40872_at,0.873849485
36561_at,0.873676624
1751_g_at,0.873275047
36104_at,0.873007414
34829_at,0.872231038
34285_at,0.871595571
32441_at,0.870321407
35353_at,0.869098687
33350_s_at,0.8688934
548_s_at,0.868674603
41638_at,0.868172075
37500_at,0.8675344
34671_at,0.866730332
36913_at,0.86657279
32236_at,0.865618052
32360_s_at,0.865183094
33746_at,0.864506775
35790_at,0.863407077
34789_at,0.863316287
37385_at,0.86310624
36847_r_at,0.863082474
37949_at,0.862412006
40110_at,0.862404093
39883_at,0.862292965
41812_s_at,0.862276161
34175_r_at,0.860043999
36551_at,0.859276968
37615_at,0.857400449
34651_at,0.855240698
1550_at,0.855155154
35717_at,0.854945244
38046_at,0.854315763
1327_s_at,0.853782509
1795_g_at,0.853171313
33373_at,0.85252572
38275_at,0.851830417
37285_at,0.851106329
35907_at,0.851080739
41603_at,0.851026666
40785_g_at,0.850719461
37930_at,0.849768953
32061_at,0.849301033
39342_at,0.848001598
39944_at,0.847647123
40036_at,0.846020443
33139_s_at,0.845596004
38803_at,0.844400301
36008_at,0.8434056
31992_f_at,0.843098478
37844_at,0.840350986
35819_at,0.839888987
1309_at,0.838262212
41199_s_at,0.835085181
35743_at,0.834604591
38782_at,0.834486407
38711_at,0.833999777
40910_at,0.833311563
35311_at,0.833070555
38378_at,0.832784069
36203_at,0.83205838
38270_at,0.830576559
33301_g_at,0.830496359
34893_at,0.829554448
33023_at,0.829140298
32644_at,0.828765663
37329_at,0.828754291
468_at,0.828527972
35364_at,0.827841201
39041_at,0.827519466
35318_at,0.826711677
33234_at,0.825564482
35371_at,0.825187093
35814_at,0.824476357
40546_s_at,0.823617852
39182_at,0.823546664
39017_at,0.822507569
36603_at,0.822090736
41467_at,0.821323305
35078_at,0.820942058
33352_at,0.820846819
35707_at,0.820766407
32684_at,0.820538296
1501_at,0.819090494
40931_at,0.818989278
33708_at,0.817348262
35299_at,0.816831408
36015_at,0.816481109
36052_at,0.814251277
39812_at,0.813223552
40032_at,0.812712058
33715_r_at,0.812274954
35991_at,0.811373017
35160_at,0.811058017
35300_at,0.809534979
41296_s_at,0.809356195
40862_i_at,0.809157077
34234_f_at,0.809022278
33813_at,0.807601279
32686_at,0.805672093
38253_at,0.804642231
36649_at,0.803653865
34787_at,0.803563393
31865_at,0.802987691
41557_at,0.802872295
37974_at,0.802345165
38998_g_at,0.802144569
37164_at,0.800436608
149_at,0.799907344
33985_s_at,0.799720892
36968_s_at,0.799344385
41149_at,0.799277051
39232_at,0.798273966
40991_at,0.797812474
37596_at,0.797275886
34929_at,0.797177723
39903_at,0.796752191
394_at,0.796298799
37337_at,0.79579922
1860_at,0.795720662
36957_at,0.79540679
32541_at,0.794733434
33906_at,0.794659664
37683_at,0.793894121
40982_at,0.793185983
40519_at,0.793086692
36582_g_at,0.792763484
1072_g_at,0.792542474
40391_at,0.792352633
35061_at,0.792199094
37522_r_at,0.792143799
40654_at,0.789604146
35215_at,0.789392903
37699_at,0.789362142
36127_g_at,0.789343227
35858_at,0.787919219
36982_at,0.786539125
39661_s_at,0.786461803
34314_at,0.785890619
35413_s_at,0.783804429
33285_i_at,0.783725526
39443_s_at,0.78316165
36628_at,0.78193123
33262_at,0.78182172
34224_at,0.780927054
32661_s_at,0.78000887
41128_at,0.779380318
37297_at,0.778858916
38030_at,0.777722429
40160_at,0.77697789
